,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
1464,detective,noun,a2,a2,0,0,0,0
1465,detention,noun,-1,c1,0,0,0,0
1466,deteriorate,verb,-1,c1,0,0,0,0
1467,determination,noun,-1,b2,0,2,5,0
1468,determine,verb,b1,b1,0,0,0,0
1469,determined,adjective,b1,b1,2,11,3,15
1470,devastate,verb,-1,c1,0,0,0,0
1471,develop,verb,a2,a2,0,0,1,0
1472,development,noun,b1,b1,0,0,1,0
1473,device,noun,a2,a2,7,1,0,5
1474,devil,noun,-1,c1,0,2,2,1
1475,devise,verb,-1,c1,0,0,0,0
1476,devote,verb,-1,b2,0,0,0,0
1477,diagnose,verb,-1,c1,0,0,1,0
1478,diagnosis,noun,-1,c1,0,0,0,0
1479,diagram,noun,b1,b1,0,0,1,0
1480,dialogue,noun,a1,a1,0,0,0,0
1481,diamond,noun,b1,b1,5,1,6,4
1482,diary,noun,a2,a2,0,0,0,0
1483,dictate,verb,-1,c1,0,0,0,0
1484,dictator,noun,-1,c1,0,0,0,0
1485,dictionary,noun,a1,a1,0,0,0,0
1486,die,verb,a1,a1,117,113,26,183
1487,diet,noun,a1,a1,0,0,0,0
1488,differ,verb,-1,b2,0,3,1,0
1489,difference,noun,a1,a1,7,11,31,16
1490,different,adjective,a1,a1,74,51,90,76
1491,differentiate,verb,-1,c1,0,0,0,0
1492,differently,adverb,a2,a2,2,2,3,2
1493,difficult,adjective,a1,a1,6,2,22,11
1494,difficulty,noun,b1,b1,2,3,3,11
1495,dig,verb,b2,b2,4,3,17,5
1496,digital,adjective,a2,a2,0,0,0,0
1497,dignity,noun,-1,c1,5,6,8,8
1498,dilemma,noun,-1,c1,0,0,0,0
1499,dimension,noun,-1,c1,0,0,0,0
1500,diminish,verb,-1,c1,1,0,0,2
1501,dinner,noun,a1,a1,3,1,32,2
1502,dip,verb,-1,c1,2,0,3,5
1503,diplomat,noun,-1,c1,0,0,0,0
1504,diplomatic,adjective,-1,c1,0,0,0,0
1505,direct,adjective,a2,a2,5,1,2,3
1506,direct,adverb,b1,b1,0,0,0,0
1507,direct,verb,b1,b1,0,0,0,0
1508,direction,noun,a2,a2,3,6,51,6
1509,directly,adverb,b1,b1,5,5,13,3
1510,director,noun,a2,a2,0,0,0,0
1511,directory,noun,-1,c1,0,0,0,0
1512,dirt,noun,b1,b1,24,25,27,15
1513,dirty,adjective,a1,a1,8,7,10,3
1514,disability,noun,-1,b2,0,0,0,0
1515,disabled,adjective,-1,b2,0,0,0,0
1516,disadvantage,noun,b1,b1,0,0,0,0
1517,disagree,verb,a2,a2,1,0,1,0
1518,disagreement,noun,-1,b2,0,0,0,0
1519,disappear,verb,a2,a2,0,1,5,1
1520,disappoint,verb,-1,b2,2,3,1,2
1521,disappointed,adjective,b1,b1,5,6,23,6
1522,disappointing,adjective,b1,b1,0,1,0,0
1523,disappointment,noun,-1,b2,3,6,10,5
1524,disaster,noun,a2,a2,1,0,4,0
1525,disastrous,adjective,-1,c1,0,0,0,0
1526,disc,noun,b2,b2,1,0,0,0
1527,discard,verb,-1,c1,0,0,0,0
1528,discharge,verb,-1,c1,0,0,1,0
1529,discipline,noun,b2,b2,3,2,5,8
1530,disclose,verb,-1,c1,0,0,0,0
1531,disclosure,noun,-1,c1,0,0,0,0
1532,discount,noun,b1,b1,0,0,0,0
1533,discount,verb,b2,b2,0,0,0,0
1534,discourage,verb,-1,b2,0,0,0,1
1535,discourse,noun,-1,c1,0,1,0,0
1536,discover,verb,a2,a2,2,3,2,3
1537,discovery,noun,a2,a2,1,1,0,1
1538,discretion,noun,-1,c1,0,0,0,0
1539,discrimination,noun,-1,c1,0,0,0,0
1540,discuss,verb,a1,a1,4,6,3,5
1541,discussion,noun,a2,a2,1,2,9,3
1542,disease,noun,a2,a2,1,0,3,2
1543,dish,noun,a1,a1,9,5,0,8
1544,dishonest,adjective,b2,b2,0,0,1,0
1545,disk,noun,b2,b2,0,0,5,3
1546,dislike,noun,b1,b1,1,0,4,0
1547,dislike,verb,b1,b1,0,0,0,0
1548,dismiss,verb,b2,b2,4,0,2,6
1549,dismissal,noun,-1,c1,6,0,3,4
1550,disorder,noun,-1,b2,1,0,0,0
1551,displace,verb,-1,c1,0,0,0,0
1552,display,noun,b2,b2,1,0,6,1
1553,display,verb,b2,b2,0,0,0,0
1554,disposal,noun,-1,c1,0,0,0,1
1555,dispose,verb,-1,c1,1,1,0,3
1556,dispute,noun,-1,c1,1,3,0,1
1557,dispute,verb,-1,c1,0,0,0,0
1558,disrupt,verb,-1,c1,0,0,1,0
1559,disruption,noun,-1,c1,1,0,0,0
1560,dissolve,verb,-1,c1,1,1,2,1
1561,distance,noun,a2,a2,18,22,25,24
1562,distant,adjective,-1,b2,28,29,18,25
1563,distinct,adjective,-1,b2,0,1,4,1
1564,distinction,noun,-1,c1,0,0,2,1
1565,distinctive,adjective,-1,c1,1,0,7,1
1566,distinguish,verb,-1,b2,0,0,0,1
1567,distort,verb,-1,c1,0,0,0,0
1568,distract,verb,-1,b2,1,0,3,4
1569,distress,noun,-1,c1,2,3,0,4
1570,distress,verb,-1,c1,0,0,0,0
1571,distribute,verb,b2,b2,0,0,1,0
1572,distribution,noun,b2,b2,0,0,0,0
1573,district,noun,b2,b2,1,1,0,0
1574,disturb,verb,-1,b2,5,3,1,6
1575,disturbing,adjective,-1,c1,2,6,5,3
1576,dive,noun,-1,b2,0,0,1,2
1577,dive,verb,-1,b2,0,0,0,0
1578,diverse,adjective,-1,b2,0,0,0,0
1579,diversity,noun,-1,b2,0,0,0,0
1580,divert,verb,-1,c1,0,0,1,0
1581,divide,noun,b2,b2,0,0,0,1
1582,divide,verb,b1,b1,0,0,0,0
1583,divine,adjective,-1,c1,0,0,1,0
1584,division,noun,b2,b2,0,0,0,1
1585,divorce,noun,-1,b2,0,0,0,0
1586,divorce,verb,-1,b2,0,0,0,0
1587,divorced,adjective,a2,a2,0,0,0,0
1588,do,verb,a1,a1,724,672,577,928
1589,do,auxiliary verb,a1,a1,0,0,0,0
1590,doctor,noun,a1,a1,0,0,7,0
1591,doctrine,noun,-1,c1,0,0,1,0
1592,document,noun,a2,a2,2,1,0,3
1593,document,verb,b2,b2,0,0,0,0
1594,documentary,noun,b1,b1,0,0,0,0
1595,documentation,noun,-1,c1,0,0,0,0
1596,dog,noun,a1,a1,54,32,15,74
1597,dollar,noun,a1,a1,0,0,0,0
1598,domain,noun,-1,c1,1,2,1,1
1599,domestic,adjective,b2,b2,0,0,1,0
1600,dominance,noun,-1,c1,1,0,1,0
1601,dominant,adjective,-1,b2,0,0,0,0
1602,dominate,verb,b2,b2,0,0,0,0
1603,donate,verb,b1,b1,0,0,0,0
1604,donation,noun,-1,b2,0,0,0,0
1605,donor,noun,-1,c1,0,0,0,0
1606,door,noun,a1,a1,178,196,226,178
1607,dose,noun,-1,c1,3,0,6,1
1608,dot,noun,-1,b2,0,0,0,0
1609,double,adjective,a2,a2,12,22,17,20
1610,double,adverb,b1,b1,0,0,0,0
1611,double,determiner,a2,a2,0,0,0,0
1612,double,pronoun,a2,a2,0,0,0,0
1613,double,verb,a2,a2,0,0,0,0
1614,doubt,noun,b1,b1,59,89,34,102
1615,doubt,verb,b1,b1,0,0,0,0
1616,down,adverb,a1,a1,583,633,563,875
1617,down,preposition,a1,a1,0,0,0,0
1618,download,noun,a2,a2,0,0,0,0
1619,download,verb,a2,a2,0,0,0,0
1620,downstairs,adjective,a2,a2,0,0,7,2
1621,downstairs,adverb,a1,a1,0,0,0,0
1622,downtown,adjective,-1,b2,0,0,0,0
1623,downtown,adverb,-1,b2,0,0,0,0
1624,downtown,noun,-1,b2,0,0,0,0
1625,downwards,adverb,b2,b2,0,0,0,0
1626,dozen,determiner,b2,b2,62,59,68,126
1627,dozen,noun,b2,b2,0,0,0,0
1628,draft,noun,b2,b2,2,5,1,3
1629,draft,verb,b2,b2,0,0,0,0
1630,drag,verb,b2,b2,9,9,2,8
1631,drain,verb,-1,c1,1,1,3,4
1632,drama,noun,a2,a2,0,0,3,0
1633,dramatic,adjective,b2,b2,0,0,14,0
1634,dramatically,adverb,-1,b2,0,0,6,0
1635,draw,verb,a1,a1,20,14,26,36
1636,drawing,noun,a2,a2,9,12,21,8
1637,dream,noun,a2,a2,72,47,20,63
1638,dream,verb,a2,a2,0,0,0,0
1639,dress,noun,a1,a1,26,33,12,38
1640,dress,verb,a1,a1,0,0,0,0
1641,dressed,adjective,b1,b1,34,36,29,52
1642,drift,verb,-1,c1,3,2,3,3
1643,drink,noun,a1,a1,47,37,106,67
1644,drink,verb,a1,a1,0,0,0,0
1645,drive,noun,a2,a2,13,7,5,7
1646,drive,verb,a1,a1,0,0,0,0
1647,driver,noun,a1,a1,0,1,0,1
1648,driving,adjective,-1,c1,15,12,4,13
1649,driving,noun,a2,a2,0,0,0,0
1650,drop,noun,b1,b1,9,9,15,15
1651,drop,verb,a2,a2,0,0,0,0
1652,drought,noun,-1,b2,0,0,1,0
1653,drown,verb,-1,c1,17,2,0,23
1654,drug,noun,a2,a2,0,0,8,0
1655,drum,noun,b1,b1,9,2,2,22
1656,drunk,adjective,b1,b1,45,20,24,58
1657,dry,adjective,a2,a2,36,37,38,49
1658,dry,verb,a2,a2,0,0,0,0
1659,dual,adjective,-1,c1,0,0,0,0
1660,dub,verb,-1,c1,1,0,1,2
1661,due,adjective,b1,b1,5,4,14,7
1662,dull,adjective,-1,b2,9,3,27,5
1663,dumb,adjective,-1,c1,1,3,6,4
1664,dump,verb,-1,b2,0,0,0,0
1665,duo,noun,-1,c1,0,0,0,0
1666,duration,noun,-1,b2,0,0,0,0
1667,during,preposition,a1,a1,38,20,33,49
1668,dust,noun,b1,b1,26,15,14,16
1669,duty,noun,b1,b1,21,24,3,65
1670,dvd,noun,a1,a1,0,0,0,0
1671,dynamic,adjective,-1,b2,0,0,0,0
1672,dynamic,noun,-1,c1,0,0,0,0
1673,each,adverb,a1,a1,183,127,148,161
1674,each,determiner,a1,a1,0,0,0,0
1675,each,pronoun,a1,a1,0,0,0,0
1676,eager,adjective,-1,c1,10,9,22,4
1677,ear,noun,a1,a1,39,34,27,54
1678,early,adjective,a1,a1,6,5,47,10
1679,early,adverb,a1,a1,0,0,0,0
1680,earn,verb,a2,a2,2,3,11,5
1681,earnings,noun,-1,c1,0,0,0,0
1682,earth,noun,a2,a2,39,48,22,36
1683,earthquake,noun,b1,b1,0,0,0,0
1684,ease,noun,-1,c1,4,6,11,12
1685,ease,verb,-1,c1,0,0,0,0
1686,easily,adverb,a2,a2,27,25,51,31
1687,east,adjective,a1,a1,45,50,8,62
1688,east,adverb,a1,a1,0,0,0,0
1689,east,noun,a1,a1,0,0,0,0
1690,eastern,adjective,b1,b1,3,11,5,16
1691,easy,adjective,a1,a1,45,40,59,56
1692,eat,verb,a1,a1,62,38,52,89
1693,echo,noun,-1,c1,0,6,2,4
1694,echo,verb,-1,c1,0,0,0,0
1695,ecological,adjective,-1,c1,0,0,0,0
1696,economic,adjective,b1,b1,0,0,0,0
1697,economics,noun,-1,b2,0,0,0,0
1698,economist,noun,-1,b2,0,0,0,0
1699,economy,noun,b1,b1,0,0,0,0
1700,edge,noun,b1,b1,29,52,75,53
1701,edit,verb,b2,b2,0,0,0,0
1702,edition,noun,b2,b2,0,0,1,0
1703,editor,noun,b1,b1,0,0,0,0
1704,editorial,adjective,-1,b2,0,0,0,0
1705,educate,verb,b1,b1,0,0,0,0
1706,educated,adjective,b1,b1,0,0,7,0
1707,education,noun,a2,a2,0,0,7,0
1708,educational,adjective,b1,b1,0,0,0,0
1709,educator,noun,-1,c1,0,0,0,0
1710,effect,noun,a2,a2,2,0,10,4
1711,effective,adjective,b1,b1,0,0,2,0
1712,effectively,adverb,b1,b1,0,0,3,1
1713,effectiveness,noun,-1,c1,0,0,0,0
1714,efficiency,noun,-1,c1,0,0,9,0
1715,efficient,adjective,b2,b2,0,0,6,0
1716,efficiently,adverb,-1,b2,0,0,1,0
1717,effort,noun,b1,b1,7,7,12,9
1718,egg,noun,a1,a1,10,24,0,1
1719,ego,noun,-1,c1,0,0,0,0
1720,eight,number,a1,a1,41,28,41,77
1721,eighteen,number,a1,a1,7,11,9,9
1722,eighty,number,a1,a1,6,3,12,9
1723,either,adverb,a2,a2,60,42,61,87
1724,either,determiner,a2,a2,0,0,0,0
1725,either,pronoun,a2,a2,0,0,0,0
1726,elaborate,adjective,-1,c1,2,3,7,0
1727,elbow,noun,-1,b2,19,25,15,20
1728,elderly,adjective,b2,b2,2,1,2,3
1729,elect,verb,b2,b2,0,0,0,0
1730,election,noun,b1,b1,0,0,0,0
1731,electoral,adjective,-1,c1,0,0,0,0
1732,electric,adjective,a2,a2,0,0,0,0
1733,electrical,adjective,a2,a2,0,0,0,0
1734,electricity,noun,a2,a2,0,0,0,0
1735,electronic,adjective,a2,a2,0,0,0,0
1736,electronics,noun,-1,b2,0,0,0,0
1737,elegant,adjective,-1,b2,5,4,3,5
1738,element,noun,b1,b1,0,0,4,0
1739,elementary,adjective,-1,b2,0,0,0,0
1740,elephant,noun,a1,a1,0,0,0,1
1741,elevate,verb,-1,c1,0,1,1,0
1742,eleven,number,a1,a1,7,2,7,8
1743,eligible,adjective,-1,c1,0,0,0,0
1744,eliminate,verb,-1,b2,0,0,0,0
1745,elite,noun,-1,c1,0,0,0,0
1746,else,adverb,a1,a1,96,62,91,128
1747,elsewhere,adverb,b2,b2,3,7,12,15
1748,email,noun,a1,a1,0,0,0,0
1749,email,verb,a1,a1,0,0,0,0
1750,embark,verb,-1,c1,0,0,0,0
1751,embarrassed,adjective,b1,b1,1,2,26,2
1752,embarrassing,adjective,b1,b1,1,2,3,0
1753,embarrassment,noun,-1,c1,0,0,13,0
1754,embassy,noun,-1,c1,0,0,0,0
1755,embed,verb,-1,c1,0,0,0,0
1756,embody,verb,-1,c1,0,0,0,0
1757,embrace,verb,-1,b2,5,8,6,7
1758,emerge,verb,b2,b2,4,3,2,8
1759,emergence,noun,-1,c1,0,0,0,0
1760,emergency,noun,b1,b1,0,0,2,0
1761,emission,noun,-1,b2,0,0,0,0
1762,emotion,noun,b1,b1,0,2,5,0
1763,emotional,adjective,b2,b2,0,0,0,0
1764,emotionally,adverb,-1,b2,0,0,0,0
1765,emphasis,noun,b2,b2,0,0,2,0
1766,emphasize,verb,b2,b2,0,0,1,0
1767,empire,noun,-1,b2,0,0,16,6
1768,empirical,adjective,-1,c1,0,0,0,0
1769,employ,verb,a2,a2,0,0,3,0
1770,employee,noun,a2,a2,0,0,0,0
1771,employer,noun,a2,a2,0,0,1,0
1772,employment,noun,b1,b1,0,0,0,1
1773,empower,verb,-1,c1,0,0,0,0
1774,empty,adjective,a2,a2,89,69,51,85
1775,empty,verb,b1,b1,0,0,0,0
1776,enable,verb,b2,b2,0,0,0,0
1777,enact,verb,-1,c1,0,0,0,0
1778,encompass,verb,-1,c1,0,0,0,0
1779,encounter,noun,b2,b2,1,0,2,1
1780,encounter,verb,b2,b2,0,0,0,0
1781,encourage,verb,b1,b1,0,0,3,1
1782,encouragement,noun,-1,c1,3,2,0,0
1783,encouraging,adjective,-1,c1,1,0,3,1
1784,end,noun,a1,a1,230,150,110,194
1785,end,verb,a1,a1,0,0,0,0
1786,endeavour,noun,-1,c1,0,0,0,0
1787,ending,noun,a2,a2,2,3,14,3
1788,endless,adjective,-1,c1,9,18,10,14
1789,endorse,verb,-1,c1,0,0,0,0
1790,endorsement,noun,-1,c1,0,0,0,0
1791,endure,verb,-1,c1,0,5,1,3
1792,enemy,noun,b1,b1,34,27,4,28
1793,energy,noun,a2,a2,0,0,24,0
1794,enforce,verb,-1,c1,0,1,0,0
1795,enforcement,noun,-1,c1,0,0,0,0
1796,engage,verb,b2,b2,1,2,0,0
1797,engaged,adjective,b1,b1,5,1,0,1
1798,engagement,noun,-1,c1,0,1,1,0
1799,engaging,adjective,-1,c1,1,0,1,0
1800,engine,noun,a2,a2,0,0,0,0
1801,engineer,noun,a2,a2,0,0,0,0
1802,engineering,noun,b1,b1,0,0,2,0
1803,enhance,verb,b2,b2,0,0,0,1
1804,enjoy,verb,a1,a1,7,5,8,10
1805,enjoyable,adjective,-1,b2,0,0,0,0
1806,enormous,adjective,a2,a2,3,1,1,4
1807,enough,adverb,a1,a1,271,218,244,391
1808,enough,determiner,a1,a1,0,0,0,0
1809,enough,pronoun,a1,a1,0,0,0,0
1810,enquire,verb,-1,c1,0,0,0,0
1811,enquiry,noun,b2,b2,0,0,0,0
1812,enrich,verb,-1,c1,0,0,0,0
1813,enrol,verb,-1,c1,0,0,0,0
1814,ensue,verb,-1,c1,0,0,0,0
1815,ensure,verb,b2,b2,0,0,3,0
1816,enter,verb,a2,a2,23,18,6,7
1817,enterprise,noun,-1,c1,0,0,0,0
1818,entertain,verb,b1,b1,1,2,3,0
1819,entertaining,adjective,-1,b2,2,1,5,2
1820,entertainment,noun,b1,b1,0,0,6,1
1821,enthusiasm,noun,b2,b2,0,0,1,0
1822,enthusiast,noun,-1,c1,0,0,0,0
1823,enthusiastic,adjective,b2,b2,0,0,2,0
1824,entire,adjective,b2,b2,3,2,21,3
1825,entirely,adverb,b2,b2,6,5,33,7
1826,entitle,verb,-1,c1,0,0,0,0
1827,entity,noun,-1,c1,0,0,0,0
1828,entrance,noun,b1,b1,6,8,5,5
1829,entrepreneur,noun,-1,b2,0,0,0,0
1830,entry,noun,b1,b1,2,4,5,0
1831,envelope,noun,-1,b2,0,0,0,0
1832,environment,noun,a2,a2,0,0,0,0
1833,environmental,adjective,b1,b1,0,0,0,0
1834,epidemic,noun,-1,c1,0,0,0,0
1835,episode,noun,b1,b1,1,0,0,0
1836,equal,adjective,b1,b1,6,7,10,11
1837,equal,noun,b2,b2,0,0,0,0
1838,equal,verb,b1,b1,0,0,0,0
1839,equality,noun,-1,c1,0,0,0,0
1840,equally,adverb,b1,b1,1,1,2,0
1841,equation,noun,-1,c1,0,0,0,0
1842,equip,verb,-1,b2,1,1,0,0
1843,equipment,noun,a2,a2,0,0,3,0
1844,equivalent,adjective,-1,b2,0,0,2,0
1845,equivalent,noun,-1,b2,0,0,0,0
1846,era,noun,-1,b2,0,0,0,2
1847,erect,verb,-1,c1,2,0,0,0
1848,error,noun,a2,a2,1,1,1,0
1849,erupt,verb,-1,b2,0,0,1,1
1850,escalate,verb,-1,c1,0,0,0,0
1851,escape,noun,b1,b1,23,7,10,31
1852,escape,verb,b1,b1,0,0,0,0
1853,especially,adverb,a2,a2,17,10,20,26
1854,essay,noun,a2,a2,0,0,0,0
1855,essence,noun,-1,c1,0,1,0,1
1856,essential,adjective,b1,b1,0,0,1,0
1857,essentially,adverb,-1,b2,0,0,0,0
1858,establish,verb,b2,b2,0,1,1,1
1859,establishment,noun,-1,c1,1,2,0,0
1860,estate,noun,b2,b2,2,4,2,0
1861,estimate,noun,b2,b2,1,1,2,0
1862,estimate,verb,b2,b2,0,0,0,0
1863,eternal,adjective,-1,c1,2,3,2,4
1864,ethic,noun,-1,b2,0,0,0,0
1865,ethical,adjective,b2,b2,0,0,0,0
1866,ethnic,adjective,-1,b2,0,0,0,0
1867,euro,noun,a1,a1,0,0,0,0
1868,evacuate,verb,-1,c1,0,0,0,0
1869,evaluate,verb,b2,b2,0,0,0,0
1870,evaluation,noun,-1,b2,0,0,0,0
1871,even,adjective,b2,b2,523,447,322,683
1872,even,adverb,a1,a1,0,0,0,0
1873,evening,noun,a1,a1,19,10,51,16
1874,event,noun,a1,a1,0,2,4,3
1875,eventually,adverb,b1,b1,0,0,46,0
1876,ever,adverb,a1,a1,220,195,148,257
1877,every,determiner,a1,a1,249,178,89,339
1878,everybody,pronoun,a1,a1,0,3,2,2
1879,everyday,adjective,a2,a2,0,1,2,0
1880,everyone,pronoun,a1,a1,39,44,160,45
1881,everything,pronoun,a1,a1,39,45,96,39
1882,everywhere,adverb,a2,a2,28,21,14,33
1883,evidence,noun,a2,a2,2,1,4,6
1884,evident,adjective,-1,b2,0,0,0,0
1885,evil,adjective,b2,b2,28,5,3,12
1886,evil,noun,b2,b2,0,0,0,0
1887,evoke,verb,-1,c1,1,0,0,0
1888,evolution,noun,-1,b2,0,0,0,0
1889,evolutionary,adjective,-1,c1,0,0,0,0
1890,evolve,verb,-1,b2,0,0,0,0
1891,exact,adjective,a2,a2,0,1,1,2
1892,exactly,adverb,a2,a2,1,0,40,0
1893,exaggerate,verb,-1,c1,0,0,0,0
1894,exam,noun,a1,a1,0,0,0,0
1895,examination,noun,b2,b2,1,0,2,0
1896,examine,verb,b1,b1,1,3,0,3
1897,example,noun,a1,a1,0,0,6,0
1898,exceed,verb,-1,b2,0,1,0,0
1899,excellence,noun,-1,c1,0,0,4,0
1900,excellent,adjective,a2,a2,1,4,9,2
1901,except,conjunction,b1,b1,10,13,43,22
1902,except,preposition,a2,a2,0,0,0,0
1903,exception,noun,-1,b2,0,0,3,1
1904,exceptional,adjective,-1,c1,0,0,0,0
1905,excess,adjective,-1,c1,0,1,0,0
1906,excess,noun,-1,c1,0,0,0,0
1907,excessive,adjective,-1,b2,0,0,1,2
1908,exchange,noun,b1,b1,6,2,12,13
1909,exchange,verb,b1,b1,0,0,0,0
1910,excited,adjective,a1,a1,3,8,12,3
1911,excitement,noun,b1,b1,2,4,9,2
1912,exciting,adjective,a1,a1,0,2,5,4
1913,exclude,verb,-1,b2,0,0,0,0
1914,exclusion,noun,-1,c1,0,0,0,0
1915,exclusive,adjective,-1,c1,0,0,0,0
1916,exclusively,adverb,-1,c1,0,0,0,0
1917,excuse,noun,b2,b2,5,4,25,10
1918,excuse,verb,b2,b2,0,0,0,0
1919,execute,verb,-1,c1,0,0,0,1
1920,execution,noun,-1,c1,1,1,2,3
1921,executive,adjective,b2,b2,0,0,0,0
1922,executive,noun,b2,b2,0,0,0,0
1923,exercise,noun,a1,a1,1,1,2,1
1924,exercise,verb,a1,a1,0,0,0,0
1925,exert,verb,-1,c1,0,0,0,0
1926,exhibit,noun,-1,b2,0,0,1,0
1927,exhibit,verb,-1,b2,0,0,0,0
1928,exhibition,noun,b1,b1,0,0,0,0
1929,exile,noun,-1,c1,8,9,0,17
1930,exist,verb,a2,a2,0,1,9,1
1931,existence,noun,b2,b2,1,0,0,1
1932,exit,noun,-1,b2,0,2,4,1
1933,exit,verb,-1,c1,0,0,0,0
1934,exotic,adjective,-1,b2,1,0,0,0
1935,expand,verb,b1,b1,1,0,0,1
1936,expansion,noun,-1,b2,0,0,0,0
1937,expect,verb,a2,a2,21,17,40,23
1938,expectation,noun,b2,b2,0,0,1,0
1939,expected,adjective,b1,b1,27,24,41,28
1940,expedition,noun,b1,b1,0,0,0,0
1941,expenditure,noun,-1,c1,0,0,0,0
1942,expense,noun,b2,b2,0,2,4,1
1943,expensive,adjective,a1,a1,1,1,5,1
1944,experience,noun,a2,a2,2,1,9,1
1945,experience,verb,b1,b1,0,0,0,0
1946,experienced,adjective,b1,b1,0,0,5,1
1947,experiment,noun,a2,a2,0,0,0,0
1948,experiment,verb,b1,b1,0,0,0,0
1949,experimental,adjective,-1,c1,0,0,2,0
1950,expert,adjective,a2,a2,1,0,0,0
1951,expert,noun,a2,a2,0,0,0,0
1952,expertise,noun,-1,b2,0,0,0,0
1953,expire,verb,-1,c1,1,0,0,0
1954,explain,verb,a1,a1,3,7,29,6
1955,explanation,noun,a2,a2,0,0,11,0
1956,explicit,adjective,-1,c1,0,0,0,0
1957,explicitly,adverb,-1,c1,0,0,0,0
1958,explode,verb,b1,b1,1,4,4,0
1959,exploit,verb,-1,b2,0,0,0,1
1960,exploitation,noun,-1,c1,0,0,0,0
1961,exploration,noun,b2,b2,0,0,0,0
1962,explore,verb,b1,b1,1,0,2,0
1963,explosion,noun,b1,b1,1,0,6,0
1964,explosive,adjective,-1,c1,0,0,2,0
1965,explosive,noun,-1,c1,0,0,0,0
1966,export,noun,b1,b1,0,0,0,0
1967,export,verb,b1,b1,0,0,0,0
1968,expose,verb,b2,b2,1,2,1,3
1969,exposure,noun,-1,b2,0,0,0,1
1970,express,verb,a2,a2,1,0,2,2
1971,expression,noun,a2,a2,1,5,133,0
1972,extend,verb,b2,b2,0,0,1,1
1973,extension,noun,-1,b2,0,0,0,0
1974,extensive,adjective,-1,b2,0,0,1,1
1975,extensively,adverb,-1,b2,0,0,0,0
1976,extent,noun,b2,b2,0,0,1,0
1977,external,adjective,b2,b2,0,0,0,0
1978,extra,adjective,a1,a1,3,4,12,3
1979,extra,adverb,b1,b1,0,0,0,0
1980,extra,noun,b1,b1,0,0,0,0
1981,extract,noun,-1,b2,0,0,0,0
1982,extract,verb,-1,c1,0,0,0,0
1983,extraordinary,adjective,b2,b2,0,0,2,1
1984,extreme,adjective,a2,a2,0,2,3,0
1985,extreme,noun,b2,b2,0,0,0,0
1986,extremely,adverb,a2,a2,0,0,2,0
1987,extremist,noun,-1,c1,0,0,0,0
1988,eye,noun,a1,a1,72,60,92,91
1989,fabric,noun,-1,b2,6,4,3,1
1990,fabulous,adjective,-1,b2,1,4,0,0
1991,face,noun,a1,a1,371,444,321,484
1992,face,verb,b1,b1,0,0,0,0
1993,facilitate,verb,-1,c1,0,0,0,0
1994,facility,noun,b2,b2,0,0,0,0
1995,fact,noun,a1,a1,4,2,110,4
1996,faction,noun,-1,c1,0,0,0,0
1997,factor,noun,a2,a2,0,0,0,0
1998,factory,noun,a2,a2,0,0,0,0
1999,faculty,noun,-1,c1,0,0,2,0
2000,fade,verb,-1,c1,2,2,9,5
2001,fail,verb,a2,a2,7,4,3,15
2002,failed,adjective,-1,b2,9,8,11,26
2003,failure,noun,b2,b2,3,2,4,2
2004,fair,adjective,a2,a2,26,39,49,71
2005,fairly,adverb,b1,b1,1,1,12,3
2006,fairness,noun,-1,c1,0,0,2,0
2007,faith,noun,b2,b2,22,9,2,19
2008,fake,adjective,-1,b2,0,0,0,0
2009,fall,noun,a2,a2,60,55,60,63
2010,fall,verb,a1,a1,0,0,0,0
2011,false,adjective,a1,a1,18,12,11,36
2012,fame,noun,-1,b2,1,0,0,0
2013,familiar,adjective,b1,b1,13,10,39,9
2014,family,adjective,a1,a1,4,20,31,14
2015,family,noun,a1,a1,0,0,0,0
2016,famous,adjective,a1,a1,3,0,1,7
2017,fan,noun,a2,a2,2,0,0,0
2018,fancy,adjective,b1,b1,8,1,18,5
2019,fancy,verb,b1,b1,0,0,0,0
2020,fantastic,adjective,a1,a1,2,0,0,2
2021,fantasy,noun,-1,b2,0,1,3,0
2022,far,adjective,b1,b1,137,143,82,176
2023,far,adverb,a1,a1,0,0,0,0
2024,fare,noun,-1,b2,3,0,0,4
2025,farm,noun,a1,a1,2,2,30,3
2026,farm,verb,a2,a2,0,0,0,0
2027,farmer,noun,a1,a1,1,2,23,8
2028,farming,noun,a2,a2,1,1,1,0
2029,fascinating,adjective,b1,b1,2,0,3,0
2030,fashion,noun,a2,a2,10,9,10,3
2031,fashionable,adjective,b1,b1,0,1,0,0
2032,fast,adjective,a1,a1,38,45,20,63
2033,fast,adverb,a1,a1,0,0,0,0
2034,fasten,verb,b1,b1,1,1,1,4
2035,fat,adjective,a1,a1,59,89,6,109
2036,fat,noun,a2,a2,0,0,0,0
2037,fatal,adjective,-1,c1,0,0,0,1
2038,fate,noun,-1,c1,9,7,4,14
2039,father,noun,a1,a1,488,639,180,702
2040,fault,noun,b2,b2,17,15,12,18
2041,favour,noun,b1,b1,0,0,0,0
2042,favour,verb,b2,b2,0,0,0,0
2043,favourable,adjective,-1,c1,0,0,0,0
2044,favourite,adjective,a1,a1,0,0,0,0
2045,favourite,noun,a1,a1,0,0,0,0
2046,fear,noun,a2,a2,134,154,44,154
2047,fear,verb,b1,b1,0,0,0,0
