,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
3440,narrow,adjective,a2,a2,47,59,36,52
3441,narrow,verb,b2,b2,0,0,0,0
3442,nasty,adjective,-1,b2,2,3,1,6
3443,nation,noun,b1,b1,0,1,0,0
3444,national,adjective,a2,a2,0,0,0,0
3445,national,noun,b2,b2,0,0,0,0
3446,nationwide,adjective,-1,c1,0,0,0,0
3447,native,adjective,b1,b1,0,0,2,0
3448,native,noun,b1,b1,0,0,0,0
3449,natural,adjective,a1,a1,6,7,14,15
3450,naturally,adverb,b1,b1,0,1,2,0
3451,nature,noun,a2,a2,6,5,27,9
3452,naval,adjective,-1,c1,0,0,0,0
3453,navigation,noun,-1,b2,0,0,0,0
3454,near,adjective,a1,a1,103,81,64,102
3455,near,adverb,a1,a1,0,0,0,0
3456,near,preposition,a1,a1,0,0,0,0
3457,nearby,adjective,-1,b2,8,5,46,8
3458,nearby,adverb,-1,b2,0,0,0,0
3459,nearly,adverb,a2,a2,4,2,90,4
3460,neat,adjective,b2,b2,3,1,1,1
3461,necessarily,adverb,b1,b1,0,0,2,1
3462,necessary,adjective,a2,a2,2,3,15,9
3463,necessity,noun,-1,b2,0,0,2,2
3464,neck,noun,a2,a2,84,80,55,119
3465,need,noun,a2,a2,236,164,165,300
3466,need,verb,a1,a1,0,0,0,0
3467,need,modal verb,b1,b1,0,0,0,0
3468,needle,noun,b1,b1,29,38,15,11
3469,negative,adjective,a1,a1,0,0,0,0
3470,negative,noun,b2,b2,0,0,0,0
3471,neglect,noun,-1,c1,1,2,1,2
3472,neglect,verb,-1,c1,0,0,0,0
3473,negotiate,verb,-1,b2,0,0,0,0
3474,negotiation,noun,-1,b2,1,0,0,0
3475,neighbour,noun,a1,a1,0,0,0,0
3476,neighbourhood,noun,b1,b1,0,0,0,0
3477,neighbouring,adjective,-1,c1,0,0,0,0
3478,neither,adverb,b1,b1,52,25,31,54
