Palabra;Categoría Gramatical;Oxford3000;Oxford5000;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice
aftermath;noun;-1;c1;1;0.0;2.0;0.0;1.0;0.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0
afternoon;noun;a1;a1;15;10.0;20.0;16.0;10.0;11.0;21.0;30.0;15.0;6.0;17.0;2.0;3.0
afterwards;adverb;b2;b2;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;32.0
again;adverb;a1;a1;280;300.0;468.0;101.0;118.0;228.0;326.0;546.0;282.0;355.0;339.0;56.0;177.0
against;preposition;a2;a2;201;212.0;288.0;34.0;50.0;82.0;97.0;164.0;111.0;120.0;234.0;58.0;52.0
age;noun;a1;a1;58;38.0;46.0;5.0;5.0;5.0;21.0;23.0;16.0;19.0;30.0;6.0;15.0
age;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aged;adjective;b1;b1;8;5.0;7.0;0.0;3.0;0.0;3.0;1.0;2.0;7.0;0.0;0.0;0.0
agency;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
agenda;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
agent;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0
aggression;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
aggressive;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0
ago;adverb;a1;a1;57;45.0;52.0;13.0;20.0;15.0;38.0;60.0;36.0;42.0;104.0;4.0;26.0
agree;verb;a1;a1;13;17.0;15.0;2.0;3.0;3.0;7.0;3.0;9.0;13.0;12.0;0.0;6.0
agreement;noun;b1;b1;4;6.0;2.0;0.0;1.0;0.0;0.0;8.0;0.0;1.0;9.0;0.0;3.0
agricultural;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
agriculture;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ah;exclamation;a2;a2;23;21.0;12.0;11.0;22.0;16.0;48.0;30.0;32.0;24.0;18.0;0.0;5.0
ahead;adverb;b1;b1;55;54.0;49.0;16.0;16.0;19.0;24.0;40.0;26.0;27.0;24.0;6.0;0.0
aid;noun;b2;b2;2;8.0;4.0;0.0;0.0;1.0;5.0;4.0;3.0;2.0;4.0;0.0;1.0
aid;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aide;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
aids;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
aim;noun;b1;b1;1;0.0;5.0;0.0;3.0;1.0;6.0;9.0;6.0;1.0;3.0;0.0;0.0
aim;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
air;noun;a1;a1;101;102.0;131.0;47.0;34.0;49.0;96.0;125.0;69.0;120.0;89.0;31.0;30.0
aircraft;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airline;noun;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
airport;noun;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
alarm;noun;b1;b1;1;2.0;4.0;2.0;5.0;7.0;7.0;9.0;8.0;2.0;1.0;0.0;14.0
alarm;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
