Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
moment;66.0;3.0;46.0;0.0;0.0;115.0
weten;70.0;0.0;29.0;12.0;1.0;112.0
bent;56.0;2.0;53.0;0.0;0.0;111.0
genoeg;43.0;2.0;48.0;16.0;2.0;111.0
vraag;82.0;2.0;16.0;8.0;2.0;110.0
gij;1.0;0.0;0.0;5.0;104.0;110.0
jullie;79.0;1.0;30.0;0.0;0.0;110.0
blik;34.0;2.0;67.0;6.0;0.0;109.0
groote;1.0;0.0;0.0;103.0;5.0;109.0
naam;67.0;1.0;21.0;13.0;6.0;108.0
robert;106.0;0.0;0.0;2.0;0.0;108.0
gerard;107.0;0.0;0.0;0.0;0.0;107.0
zaak;92.0;0.0;2.0;9.0;4.0;107.0
ekaja;;106.0;0.0;0.0;0.0;106.0
heel;39.0;3.0;19.0;39.0;6.0;106.0
vast;51.0;3.0;23.0;26.0;2.0;105.0
doet;76.0;0.0;15.0;1.0;12.0;104.0
kleine;13.0;2.0;33.0;56.0;0.0;104.0
handen;24.0;3.0;43.0;32.0;2.0;104.0
zeggen;67.0;1.0;18.0;17.0;0.0;103.0
dagen;28.0;0.0;11.0;61.0;3.0;103.0
john;56.0;0.0;47.0;0.0;0.0;103.0
ten;32.0;0.0;22.0;24.0;24.0;102.0
vragen;79.0;0.0;9.0;12.0;0.0;100.0
niemand;45.0;1.0;41.0;12.0;1.0;100.0
kamer;67.0;0.0;13.0;20.0;0.0;100.0
volgens;67.0;0.0;24.0;7.0;1.0;99.0
hield;2.0;3.0;61.0;28.0;5.0;99.0
zitten;60.0;4.0;30.0;4.0;0.0;98.0
gedaan;67.0;3.0;23.0;5.0;0.0;98.0
hebt;61.0;2.0;29.0;0.0;6.0;98.0
vond;30.0;0.0;49.0;18.0;0.0;97.0
lijkt;82.0;1.0;14.0;0.0;0.0;97.0
vinden;61.0;2.0;17.0;16.0;1.0;97.0
tony;;;97.0;0.0;0.0;97.0
leek;19.0;4.0;73.0;0.0;0.0;96.0
auto;93.0;0.0;3.0;0.0;0.0;96.0
mannen;33.0;1.0;19.0;37.0;6.0;96.0
liep;8.0;11.0;47.0;30.0;0.0;96.0
