Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
robert;;;;;403.0;190.0;207.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;804.0
brought;;;;;120.0;147.0;174.0;18.0;13.0;20.0;29.0;27.0;26.0;27.0;117.0;43.0;37.0;798.0
deep;adjective;a2;a2;1.0;129.0;78.0;125.0;15.0;21.0;18.0;50.0;54.0;33.0;53.0;184.0;30.0;7.0;797.0
lannister;;;;;345.0;223.0;226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;794.0
shall;modal verb;a2;a2;1.0;111.0;117.0;157.0;7.0;16.0;22.0;19.0;57.0;60.0;56.0;8.0;0.0;161.0;791.0
gods;;;;;247.0;301.0;236.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;791.0
suddenly;adverb;a2;a2;1.0;76.0;69.0;103.0;69.0;50.0;82.0;112.0;49.0;62.0;32.0;69.0;1.0;16.0;790.0
george;;;;;0.0;;1.0;30.0;93.0;66.0;162.0;288.0;64.0;76.0;0.0;0.0;8.0;788.0
true;adjective;a1;a1;1.0;108.0;162.0;199.0;14.0;9.0;18.0;16.0;43.0;35.0;56.0;71.0;31.0;26.0;788.0
forward;adjective;b2;b2;2.0;78.0;55.0;97.0;34.0;35.0;59.0;100.0;105.0;59.0;77.0;61.0;1.0;27.0;788.0
joffrey;;;;;228.0;279.0;279.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;786.0
remember;verb;a1;a1;1.0;93.0;97.0;139.0;39.0;27.0;29.0;53.0;80.0;52.0;51.0;103.0;0.0;22.0;785.0
happened;;;;;44.0;37.0;61.0;31.0;38.0;56.0;82.0;114.0;97.0;108.0;89.0;1.0;24.0;782.0
silver;adjective;a2;a2;1.0;151.0;104.0;122.0;33.0;23.0;28.0;38.0;70.0;45.0;83.0;64.0;21.0;0.0;782.0
raised;;;;;65.0;112.0;100.0;19.0;27.0;33.0;74.0;99.0;63.0;103.0;76.0;0.0;6.0;777.0
twenty;number;a1;a1;1.0;57.0;55.0;48.0;12.0;13.0;44.0;153.0;188.0;117.0;14.0;58.0;1.0;17.0;777.0
