"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎강녕전에 가서 ‎전하를 뵙고 오라는 건 아니시죠?	‎강녕전에 가서 ‎전하를 뵙고 오라는 건 아니시죠?
‎약방 일기를 가져다 다오	‎약방 일기를 가져다 다오
‎(무영) ‎저하, 숙위병들이 밤낮없이 지키는 ‎그 약방 일기를	‎(무영) ‎저하, 숙위병들이 밤낮없이 지키는 ‎그 약방 일기를
‎제가 무슨 수로 가져오겠습니까	‎제가 무슨 수로 가져오겠습니까
‎나주에서 진상한 배 ‎고창에서 올라온 석류	‎나주에서 진상한 배 ‎고창에서 올라온 석류
‎수라간 상궁들이 ‎정성 들여 올린 매작과	‎수라간 상궁들이 ‎정성 들여 올린 매작과
‎나에게서 훔쳐 간 것들을 ‎잊진 않았겠지?	‎나에게서 훔쳐 간 것들을 ‎잊진 않았겠지?
‎저하	‎저하
‎불혹의 나이에 겨우 무과에 ‎급제할 동안 뒷바라지를 한	‎불혹의 나이에 겨우 무과에 ‎급제할 동안 뒷바라지를 한
‎어진 안사람을 생각하거라	‎어진 안사람을 생각하거라
‎[한숨]	‎[한숨]
‎혼인한 지 10년 만에 ‎어렵게 자식을 회임한 그 어진 처에게	‎혼인한 지 10년 만에 ‎어렵게 자식을 회임한 그 어진 처에게
‎(창) ‎귀한 음식을 가져다주고 싶어	‎(창) ‎귀한 음식을 가져다주고 싶어
‎내 다과상에까지 손을 댄 것 아니더냐	‎내 다과상에까지 손을 댄 것 아니더냐
‎그런 제 마음을 아시는 분이...	‎그런 제 마음을 아시는 분이...
‎언제까지 그 일로 ‎절 부려 먹으실 작정이십니까	‎언제까지 그 일로 ‎절 부려 먹으실 작정이십니까
‎내 다과상에 손을 댄 것이 알려지면	‎내 다과상에 손을 댄 것이 알려지면
‎당장 잘릴 터인데	‎당장 잘릴 터인데
‎약방 일기에 손댄 사실이 알려져도 ‎저는 잘릴 것입니다	‎약방 일기에 손댄 사실이 알려져도 ‎저는 잘릴 것입니다
‎(창) ‎오호...	‎(창) ‎오호...
‎오늘 밤 다과상은 ‎귀한 육전이라고 들었다	‎오늘 밤 다과상은 ‎귀한 육전이라고 들었다
‎[무영의 한숨] ‎뭐, 정 싫으면 어쩔 수 없고	‎[무영의 한숨] ‎뭐, 정 싫으면 어쩔 수 없고
‎아휴	‎아휴
‎[한숨]	‎[한숨]
‎(무영) ‎동트기 전 ‎마지막 교대 시간을 노려 보면	‎(무영) ‎동트기 전 ‎마지막 교대 시간을 노려 보면
‎틈이 생길 것 같습니다만	‎틈이 생길 것 같습니다만
‎(무영) ‎동트기 전 밤을 꼬박 새운 숙위병들은 ‎판단력이 흐려질 겁니다	‎(무영) ‎동트기 전 밤을 꼬박 새운 숙위병들은 ‎판단력이 흐려질 겁니다
‎그때 교대 시간을 노리면 ‎가능할 듯합니다	‎그때 교대 시간을 노리면 ‎가능할 듯합니다
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[부엉이 울음]	‎[부엉이 울음]
‎[힘주는 숨소리]	‎[힘주는 숨소리]
‎[창이 탁 착지한다]	‎[창이 탁 착지한다]
‎[문이 달칵 열린다]	‎[문이 달칵 열린다]
‎[거친 숨소리]	‎[거친 숨소리]
